GIS Status,AHJ: Name,# Potential Sites w/IX,Buildable Site Acreage w/IX,Site Acreage w/IX,Buildable Acreage Per Site,Campaign Owner: Full Name,AHJ: GEOID,AHJ: Market: Market Name,Utility: Utility  Name
Identified,Marshall County,787,88631.13,103521.45,131.54,TJ Ozomoru,19127,Iowa,Interstate Power and Light Company
Identified,Marshall County,787,88631.13,103521.45,131.54,TJ Ozomoru,19127,Iowa,Interstate Power and Light Company
Identified,Benton County,635,71368.76,79507.61,125.21,TJ Ozomoru,19011,Iowa,Interstate Power and Light Company
Identified,Fayette County,840,71254.25,80104.05,95.36,Jacob Hay,19065,Iowa,Interstate Power and Light Company
Identified,Pottawattamie County,654,67126.44,81265.99,124.26,TJ Ozomoru,19155,Iowa,MidAmerican Energy
Identified,Black Hawk County,703,66628.14,77996.44,110.95,,19013,Iowa,MidAmerican Energy
Identified,Cerro Gordo County,658,60663.68,69689.73,105.91,Jacob Hay,19033,Iowa,Interstate Power and Light Company
Identified,Polk County,755,56749.27,68041.41,90.12,,19153,Iowa,MidAmerican Energy
Identified,Woodbury County,529,52510.98,63919.65,120.83,Jacob Hay,19193,Iowa,MidAmerican Energy
Identified,Delaware County,679,50202.5,56385.5,83.04,Jacob Hay,19055,Iowa,Interstate Power and Light Company
Identified,Marion County,431,39813.66,48854.22,113.35,TJ Ozomoru,19125,Iowa,MidAmerican Energy
Identified,Grundy County,540,38925.76,42480.53,78.67,Jacob Hay,19075,Iowa,Interstate Power and Light Company
Identified,Washington County,1065,36705.19,42089.02,39.52,TJ Ozomoru,19183,Iowa,Interstate Power and Light Company
Identified,Humboldt County,310,36527.66,40340.22,130.13,,19091,Iowa,MidAmerican Energy
Identified,Butler County,327,35164.81,40242.9,123.07,,19023,Iowa,MidAmerican Energy
Identified,Boone County,1028,34089.11,37855.74,36.82,Jacob Hay,19015,Iowa,Interstate Power and Light Company
Identified,Calhoun County,360,33292.68,37035.84,102.88,,19025,Iowa,MidAmerican Energy
